,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Comparación
355,2019,1,Santa Cruz,24580,325,24905,75.63
356,2019,1,Santa Fe,736851,227,737078,3246.04
357,2019,1,Santiago Del Estero,89851,2,89853,44925.5
358,2019,1,Tierra Del Fuego,45903,544,46447,84.38
359,2019,1,Tucumán,171970,32,172002,5374.06
360,2018,4,Buenos Aires,3626502,10,3636606,362650.2
361,2018,4,Capital Federal,1385577,3,1389020,461859.0
362,2018,4,Catamarca,33574,9,33583,3730.44
363,2018,4,Chaco,103257,13,103270,7942.85
364,2018,4,Chubut,77204,1,78722,77204.0
365,2018,4,Córdoba,737234,105,737339,7021.28
366,2018,4,Corrientes,100591,10,100601,10059.1
367,2018,4,Entre Ríos,222003,44,222047,5045.52
368,2018,4,Formosa,45204,0,45204,inf
369,2018,4,Jujuy,90132,1,90133,90132.0
370,2018,4,La Pampa,85368,268,85636,318.54
371,2018,4,La Rioja,51633,18,51651,2868.5
372,2018,4,Mendoza,204982,1,206304,204982.0
373,2018,4,Misiones,116273,0,116273,inf
374,2018,4,Neuquén,112309,2,114365,56154.5
375,2018,4,Río Negro,115922,915,116837,126.69
376,2018,4,Salta,134577,1,134578,134577.0
377,2018,4,San Juan,61834,564,62398,109.63
378,2018,4,San Luis,96040,291,96331,330.03
379,2018,4,Santa Cruz,24443,325,24768,75.21
380,2018,4,Santa Fe,720161,229,720390,3144.81
381,2018,4,Santiago Del Estero,89333,2,89335,44666.5
382,2018,4,Tierra Del Fuego,45716,544,46260,84.04
383,2018,4,Tucumán,171972,32,172004,5374.12
384,2018,3,Buenos Aires,3599714,10,3610277,359971.4
385,2018,3,Capital Federal,1385804,6,1392490,230967.33
386,2018,3,Catamarca,34215,11,34226,3110.45
387,2018,3,Chaco,102021,12,102033,8501.75
388,2018,3,Chubut,101310,2,103736,50655.0
389,2018,3,Córdoba,725764,94,725858,7720.89
390,2018,3,Corrientes,99445,11,99456,9040.45
391,2018,3,Entre Ríos,204560,48,204608,4261.67
392,2018,3,Formosa,44865,0,44865,inf
393,2018,3,Jujuy,44934,1,44935,44934.0
394,2018,3,La Pampa,83180,244,83424,340.9
395,2018,3,La Rioja,51855,17,51872,3050.29
396,2018,3,Mendoza,205545,1,207029,205545.0
397,2018,3,Misiones,108042,0,108042,inf
398,2018,3,Neuquén,114713,2,116718,57356.5
