,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OtrasMediciones,TotalMediciones
109,2021,3,misiones,51,5,41932,25099,26079,14792,42291,8279.0,158528
110,2021,3,neuquén,112,327,57441,8566,6234,3631,57919,5579.0,139809
111,2021,3,río negro,125,557,68991,3730,14880,2282,34011,20009.0,144585
112,2021,3,salta,101,20,41431,70104,6962,3878,67010,6327.0,195833
113,2021,3,san juan,18,333,59873,752,13250,338,278,4641.0,79483
114,2021,3,san luis,60,0,11552,2405,6491,67942,22,29392.0,117864
115,2021,3,santa cruz,50,0,30561,8365,6799,1788,678,735.0,48976
116,2021,3,santa fe,467,579,193207,201250,83941,55080,290793,16267.0,841584
117,2021,3,santiago del estero,123,909,32752,61838,11274,801,6863,898.0,115458
118,2021,3,tierra del fuego,17,0,23723,13397,9782,1433,976,895.0,50223
119,2021,3,tucumán,32,97,39446,50293,21986,5300,115154,164.0,232472
120,2021,2,buenos aires,37192,31178,1096049,244001,140322,236897,2337604,9108.0,4132351
121,2021,2,capital federal,294,603,157558,73568,43859,86655,1037752,66.0,1400355
122,2021,2,catamarca,71,0,7219,9091,6828,4941,25388,2206.0,55744
123,2021,2,chaco,301,112,23444,21574,24032,16069,47239,7958.0,140729
124,2021,2,chubut,104,105,89639,22605,16604,3896,1112,5172.0,139237
125,2021,2,córdoba,99,2452,201757,136516,66950,70824,442357,9925.0,930880
126,2021,2,corrientes,67,645,29419,27037,24524,10059,32697,5053.0,129501
127,2021,2,entre ríos,107,3024,63518,55349,39468,18484,61605,16077.0,257632
128,2021,2,formosa,381,0,22364,7310,7460,1341,11077,1618.0,51551
129,2021,2,jujuy,48,175,24182,16577,37908,607,29950,2401.0,111848
130,2021,2,la pampa,298,554,64146,7769,8128,3399,9311,4062.0,97667
131,2021,2,la rioja,18,1,5312,5971,23298,4825,42158,19.0,81602
132,2021,2,mendoza,36,31,137462,10886,56117,4403,20686,50.0,229671
133,2021,2,misiones,51,5,41643,25907,25811,16172,38308,8279.0,156176
134,2021,2,neuquén,112,327,57713,8631,5871,5943,54008,5645.0,138250
135,2021,2,río negro,125,557,69356,3663,15019,3867,31488,20009.0,144084
136,2021,2,salta,101,20,42543,67012,7099,9654,58882,6328.0,191639
137,2021,2,san juan,18,333,59989,784,12550,340,278,4641.0,78933
138,2021,2,san luis,60,0,11752,2703,5418,65946,22,36917.0,122818
139,2021,2,santa cruz,50,0,30595,8463,6888,1575,676,735.0,48982
140,2021,2,santa fe,467,896,202018,204077,80452,75195,262124,15371.0,840600
141,2021,2,santiago del estero,123,909,32034,62224,10359,811,6064,1566.0,114090
142,2021,2,tierra del fuego,17,0,21335,6913,4580,476,889,1483.0,35693
143,2021,2,tucumán,32,97,40224,51648,23732,5022,109616,2680.0,233051
144,2021,1,buenos aires,36939,31187,1108368,240520,163747,222061,2246313,10867.0,4060002
