Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hogares trimestre anterior + 2%,Diferencia,Porcentaje de diferencia
2017,4,Catamarca,"28,62","33,14","4,52","15,79"
2017,4,Chaco,"30,81","30,58","-0,23","-0,75"
2017,4,Chubut,"51,46","47,14","-4,32","-8,39"
2017,4,Córdoba,"63,33","63,56","0,23","0,36"
2017,4,Corrientes,"32,52","32,81","0,29","0,89"
2017,4,Entre Ríos,"47,89","46,88","-1,01","-2,11"
2017,4,Formosa,"21,27","21,78","0,51","2,4"
2017,4,Jujuy,"22,74","23,1","0,36","1,58"
2017,4,La Pampa,"71,05","70,52","-0,53","-0,75"
2017,4,La Rioja,"51,57","52,5","0,93","1,8"
2017,4,Mendoza,"33,33","36,41","3,08","9,24"
2017,4,Misiones,"31,14","30,81","-0,33","-1,06"
2017,4,Neuquén,"61,24","62,05","0,81","1,32"
2017,4,Río Negro,"49,38","49,49","0,11","0,22"
2017,4,Salta,"39,8","40,64","0,84","2,11"
2017,4,San Juan,"30,3","33,02","2,72","8,98"
2017,4,San Luis,"10,59","15,79","5,2","49,1"
2017,4,Santa Cruz,"28,91","33,96","5,05","17,47"
2017,4,Santa Fe,"61,71","62,13","0,42","0,68"
2017,4,Santiago Del Estero,"29,13","35,82","6,69","22,97"
2017,4,Tierra Del Fuego,"59,89","67,05","7,16","11,96"
2017,4,Tucumán,"39,9","40,49","0,59","1,48"
2017,3,Buenos Aires,"55,63","57,4","1,77","3,18"
2017,3,Capital Federal,"121,86","126,54","4,68","3,84"
2017,3,Catamarca,"32,49","26,5","-5,99","-18,44"
2017,3,Chaco,"29,98","29,63","-0,35","-1,17"
2017,3,Chubut,"46,22","36,26","-9,96","-21,55"
2017,3,Córdoba,"62,31","60,15","-2,16","-3,47"
2017,3,Corrientes,"32,17","32,02","-0,15","-0,47"
2017,3,Entre Ríos,"45,96","46,3","0,34","0,74"
2017,3,Formosa,"21,35","20,37","-0,98","-4,59"
2017,3,Jujuy,"22,65","22,85","0,2","0,88"
2017,3,La Pampa,"69,14","64,76","-4,38","-6,33"
2017,3,La Rioja,"51,47","16,52","-34,95","-67,9"
2017,3,Mendoza,"35,7","32,4","-3,3","-9,24"
2017,3,Misiones,"30,21","30,69","0,48","1,59"
2017,3,Neuquén,"60,83","63,15","2,32","3,81"
2017,3,Río Negro,"48,52","46,94","-1,58","-3,26"
2017,3,Salta,"39,84","33,39","-6,45","-16,19"
2017,3,San Juan,"32,37","27,5","-4,87","-15,04"
2017,3,San Luis,"15,48","9,7","-5,78","-37,34"
2017,3,Santa Cruz,"33,29","26,78","-6,51","-19,56"
2017,3,Santa Fe,"60,91","53,32","-7,59","-12,46"
2017,3,Santiago Del Estero,"35,12","14,4","-20,72","-59,0"
2017,3,Tierra Del Fuego,"65,74","69,83","4,09","6,22"
2017,3,Tucumán,"39,7","38,95","-0,75","-1,89"
2017,2,Buenos Aires,"56,27","59,74","3,47","6,17"
2017,2,Capital Federal,"124,06","110,54","-13,52","-10,9"
2017,2,Catamarca,"25,98","26,17","0,19","0,73"
2017,2,Chaco,"29,05","29,19","0,14","0,48"
